month,country_or_territory,currency,code,rate
2021-03,Congo (Brazaville),CFA Franc,XAF,759.3700
2021-03,Congo (DemRep),Congo Fr,CDF,2777.8900
2021-03,Costa Rica,Colon,CRC,857.4500
2021-03,Cote d'Ivoire,CFA Franc,XOF,759.3700
2021-03,Croatia,Kuna,HRK,8.7647
2021-03,Cuba,Peso,CUP,1.4051
2021-03,Czech Republic,Koruna,CZK,29.9800
2021-03,Denmark,Krone,DKK,8.6085
2021-03,Djibouti,Franc,DJF,249.7100
2021-03,Dominica,E Caribbean Dollar,XCD,3.7938
2021-03,Dominican Republic,Peso,DOP,81.4200
2021-03,Dubai,Dirham,AED,5.1612
2021-03,Ecuador,Dollar,ECS,1.4051
2021-03,Egypt,Pound,EGP,22.0300
2021-03,El Salvador,Colon,SVC,12.2900
2021-03,Equatorial Guinea,CFA Franc,XAF,759.3700
2021-03,Eritrea,Nakfa,ERN,21.0700
2021-03,Ethiopia,Birr,ETB,56.2000
2021-03,Eurozone,Euro,EUR,1.1577
2021-03,Fiji Islands,Dollar,FJD,2.8445
2021-03,Fr. Polynesia,CFP Franc,XPF,138.1400
2021-03,Gabon,CFA Franc,XAF,759.3700
2021-03,Gambia,Dalasi,GMD,71.7300
2021-03,Georgia,Lari,GEL,4.6439
2021-03,Ghana,Cedi,GHS,8.0723
2021-03,Grenada,E Caribbean Dollar,XCD,3.7938
2021-03,Guatemala,Quetzal,GTQ,10.8600
2021-03,Guinea Bissau,CFA Franc,XOF,759.3700
2021-03,Guinea Republic,Franc,GNF,14149.4300
2021-03,Guyana,Dollar,GYD,293.7000
2021-03,Haiti,Gourde,HTG,104.4500
2021-03,Honduras,Lempira,HNL,33.8400
2021-03,Hong Kong,Dollar,HKD,10.8900
2021-03,Hungary,Forint,HUF,415.7200
2021-03,Iceland,Krona,ISK,179.8900
2021-03,India,Rupee,INR,101.8500
2021-03,Indonesia,Rupiah,IDR,19833.0800
2021-03,Iraq,Dinar,IQD,2054.9600
2021-03,Israel,Shekel,ILS,4.5868
2021-03,Jamaica,Dollar,JMD,211.8000
2021-03,Japan,Yen,JPY,147.6400
2021-03,Jordan,Dinar,JOD,0.9962
2021-03,Kazakhstan,Tenge,KZT,585.8300
2021-03,Kenya,Schilling,KES,153.9900
2021-03,Kuwait,Dinar,KWD,0.4250
2021-03,Kyrgyz Republic,Som,KGS,118.7900
2021-03,Lao People's Dem Rep,Kip,LAK,13137.7400
2021-03,Lebanon,Pound,LBP,2132.2400
2021-03,Lesotho,Loti,LSL,20.7000
2021-03,Liberia,Dollar (US),USD,1.4051
2021-03,Libya,Dinar,LYD,6.2668
2021-03,Macao,Pataca,MOP,11.2200
2021-03,Macedonia,Denar,MKD,71.2800
2021-03,Madagascar,Malagasy Ariary,MGA,5290.2200
2021-03,Malawi,Kwacha,MWK,1094.1000
2021-03,Malaysia,Ringgit,MYR,5.6801
2021-03,Maldive Islands,Rufiyaa,MVR,21.6300
2021-03,Mali Republic,CFA Franc,XOF,759.3700
2021-03,Mauritania,Ouguiya,MRU,50.2000
2021-03,Mauritius,Rupee,MUR,55.7800
2021-03,Mexico,Mexican Peso,MXN,29.1400
2021-03,Moldova,Leu,MDL,24.6500
2021-03,Mongolia,Tugrik,MNT,4017.9000
2021-03,Montserrat,E Caribbean Dollar,XCD,3.7938
2021-03,Morocco,Dirham,MAD,12.5100
2021-03,Mozambique,Metical,MZN,105.5200
2021-03,Myanmar,Kyat,MMK,1981.2100
2021-03,Nepal,Rupee,NPR,162.9700
2021-03,New Caledonia,CFP Franc,XPF,138.1400
2021-03,New Zealand,Dollar,NZD,1.9193
2021-03,Nicaragua,Gold Cordoba,NIO,49.0700
2021-03,Niger Republic,CFA Franc,XOF,759.3700
2021-03,Nigeria,Naira,NGN,578.5500
2021-03,Norway,Norwegian Krone,NOK,11.9300
2021-03,Oman,Rial,OMR,0.5410
2021-03,Pakistan,Rupee,PKR,223.4100
2021-03,Panama,Balboa,PAB,1.4051
2021-03,Papua New Guinea,Kina,PGK,4.9663
2021-03,Paraguay,Guarani,PYG,9305.3400
2021-03,Peru,New Sol,PEN,5.1365
2021-03,Philippines,Peso,PHP,68.3800
2021-03,Poland,Zloty,PLN,5.2048
2021-03,Qatar,Riyal,QAR,5.1160
2021-03,Romania,New Leu,RON,5.6445
2021-03,Russia,Rouble,RUB,104.4900
2021-03,Rwanda,Franc,RWF,1380.5100
2021-03,Saotome & Principe,Dobra,STD,28664.2000
2021-03,Saudi Arabia,Riyal,SAR,5.2699
2021-03,Senegal,CFA Franc,XOF,759.3700
2021-03,Serbia,Dinar,RSD,136.0800
2021-03,Seychelles,Rupee,SCR,29.9200
